// Note : Å°(ID)¿Í ³»¿ëÀº ¹Ýµå½Ã ÅÇÀ¸·Î ±¸ºÐµÇ¾î¾ß ÇÕ´Ï´Ù.
//
IN_000_000	Swords [Dex]
ID_113_265	
IN_113_266	D type athletics cloth(Jacket)[15D]
ID_113_266	
IN_113_267	D type athletics cloth(Pants)[15D]
ID_113_267	
IN_113_268	D type athletics cloth(Shoes)[15D]
ID_113_268	
IN_113_269	Board Suit Box[M][15D]
ID_113_269	
IN_113_270	Board Suit Jacket [M][15D]
ID_113_270	
IN_113_271	Board Suit Pants [M][15D]
ID_113_271	
IN_113_272	Board Suit Gloves [M][15D]
ID_113_272	
IN_113_273	Board Suit Shoes [M][15D]
ID_113_273	
IN_113_274	Board Suit Glasses [M][15D]
ID_113_274	
IN_113_275	Board Suit Box[W][15D]
ID_113_275	
IN_113_276	Board Suit Jacket [W][15D]
ID_113_276	
IN_113_277	Board Suit Pants [W][15D]
ID_113_277	
IN_113_278	Board Suit Gloves [W][15D]
ID_113_278	
IN_113_279	Board Suit Shoes [W][15D]
ID_113_279	
IN_113_280	Board Suit Glasses [W][15D]
ID_113_280	
IN_114_000	Premium Costumes [30D]
ID_114_000	
IN_114_001	Kung-Fu Suit [M] [30D]
ID_114_001	
IN_114_002	Kung-Fu Suit Shirt [M]
ID_114_002	
IN_114_003	Kung-Fu Suit Pants [M]
ID_114_003	
IN_114_004	Kung-Fu Suit Shoes [M]
ID_114_004	
IN_114_005	Colorful Clothing [M] [30D]
ID_114_005	
IN_114_006	Colorful Clothing Jacket [M]
ID_114_006	
IN_114_007	Colorful Clothing Pants [M]
ID_114_007	
IN_114_008	Colorful Clothing Shoes[M]
ID_114_008	
IN_114_009	Trainer Suit [M] [30D]
ID_114_009	
IN_114_010	Trainer Suit Shirt [M]
ID_114_010	
IN_114_011	Trainer Suit Pants [M]
ID_114_011	
IN_114_012	Black Suit [M] [30D]
ID_114_012	
IN_114_013	Black Suit Shirt [M]
ID_114_013	
IN_114_014	Black Suit Pants [M]
ID_114_014	
IN_114_015	Black Suit Shoes [M]
ID_114_015	
IN_114_016	Fashion Suit [F] [30D]
ID_114_016	
IN_114_017	Fashion Suit Shirt [F]
ID_114_017	
IN_114_018	Fashion Suit Skirt [F]
ID_114_018	
IN_114_019	Fashion Suit Shoes [F]
ID_114_019	
IN_114_020	Nurse's Uniform [F] [30D]
ID_114_020	
IN_114_021	Nurse's Uniform Shirt [F]
ID_114_021	
IN_114_022	Nurse's Uniform Skirt [F]
ID_114_022	
IN_114_023	Nurse's Uniform Shoes [F]
ID_114_023	
IN_114_024	Nurse's Uniform Hats [F]
ID_114_024	
IN_114_025	Stewardess' Uniform [F] [30D]
ID_114_025	
IN_114_026	Stewardess' Uniform Shirt [F] 
ID_114_026	
IN_114_027	Stewardess' Uniform Skirt [F]
ID_114_027	
IN_114_028	Stewardess' Uniform Shoes [F]
ID_114_028	
IN_114_029	Stewardess' Uniform Hats [F]
ID_114_029	
IN_114_030	Hip-Hop Clothing [M] [30D]
ID_114_030	
IN_114_031	Hip-Hop Clothing Shirt [M]
ID_114_031	
IN_114_032	Hip-Hop Clothing Pants [M]
ID_114_032	
IN_114_033	Hip-Hop Clothing Shoes [M]
ID_114_033	
IN_114_034	Hip-Hop Clothing [F] [30D]
ID_114_034	
IN_114_035	Hip-Hop Clothing Shirt [F]
ID_114_035	
IN_114_036	Hip-Hop Clothing Skirt [F]
ID_114_036	
IN_114_037	Hip-Hop Clothing Shoes [F]
ID_114_037	
IN_114_038	Race Queen #1 Suit [F] [30D]
ID_114_038	
IN_114_039	Race Queen #1 Suit Shirt [F]
ID_114_039	
IN_114_040	Race Queen #1 Suit Skirt [F]
ID_114_040	
IN_114_041	Race Queen #1 Suit Shoes [F]
ID_114_041	
IN_114_042	Racing Suit [M] [30D]
ID_114_042	
IN_114_043	Racing Suit Shirt [M]
ID_114_043	
IN_114_044	Racing Suit Pants [M]
ID_114_044	
IN_114_045	Racing Suit Shoes [M]
ID_114_045	
IN_114_046	Spectacular Clothing [M] [30D]
ID_114_046	
IN_114_047	Spectacular Clothing Shirt [M]
ID_114_047	
IN_114_048	Spectacular Clothing Pants [M]
ID_114_048	
IN_114_049	Spectacular Clothing Shoes [M]
ID_114_049	
IN_114_050	Spectacular Clothing Gloves [M]
ID_114_050	
IN_114_051	Ninja Suit [M] [30D]
ID_114_051	
IN_114_052	Ninja Suit Shirt [M]
ID_114_052	
IN_114_053	Ninja Suit Pants [M]
ID_114_053	
IN_114_054	Ninja Suit Shoes [M]
ID_114_054	
IN_114_055	Ninja Suit Gloves[M]
ID_114_055	
IN_114_056	Ninja Suit [F] [30D]
ID_114_056	
IN_114_057	Ninja Suit Shirt [F]
ID_114_057	
IN_114_058	Ninja Suit Skirt [F]
ID_114_058	
IN_114_059	Ninja Suit Shoes [F]
ID_114_059	
IN_114_060	Ninja Suit Gloves [F]
ID_114_060	
IN_114_061	Old Leather Kendo Suit [30D]
ID_114_061	
IN_114_062	Old Leather Kendo Suit Shirt [M]
ID_114_062	
IN_114_063	Old Leather Kendo Suit Pants [M]
ID_114_063	
IN_114_064	Old Leather Kendo Suit Gloves [M]
ID_114_064	
IN_114_065	Old Leather Kendo Suit Shoes [M]
ID_114_065	
IN_114_066	Kung-Fu Suit [F] [30D]
ID_114_066	
IN_114_067	Kung-Fu Suit Shirt [F] 
ID_114_067	
IN_114_068	Kung-Fu Suit Pants [F] 
ID_114_068	
IN_114_069	Kung-Fu Suit Shoes [F] 
ID_114_069	
IN_114_070	Adventurer Suit [F] [30D]
ID_114_070	
IN_114_071	Adventurer Suit Shirt [F]  
ID_114_071	
IN_114_072	Adventurer Suit Pants [F]  
ID_114_072	
IN_114_073	Adventurer Suit Shoes [F]  
ID_114_073	
IN_114_074	Race Queen #2 Suit [F] [30D]
ID_114_074	
IN_114_075	Race Queen #2 Suit Shirt [F]  
ID_114_075	
IN_114_076	Race Queen #2 Suit Skirt [F]  
ID_114_076	
IN_114_077	Race Queen #2 Suit Gloves [F]  
ID_114_077	
IN_114_078	Race Queen #2 Suit Shoes [F]  
ID_114_078	
IN_114_079	XiuLuo Martial Arts Attire [30D]
ID_114_079	
IN_114_080	XiuLuo Martial Arts Attire Shirt 
ID_114_080	
IN_114_081	XiuLuo Martial Arts Attire Pants
ID_114_081	
IN_114_082	XiuLuo Martial Arts Attire Hat
ID_114_082	
IN_114_083	WuShu DaRen Martial Arts Attire [30D]
ID_114_083	
IN_114_084	WuShu DaRen Martial Attire Suit Shirt 
ID_114_084	
IN_114_085	WuShu DaRen Martial Attire Suit Pants
ID_114_085	
IN_114_086	Jeans Attire [M] [30D]
ID_114_086	
IN_114_087	Jeans Attire Shirt [M]
ID_114_087	
IN_114_088	Jeans Attire Pants [M]
ID_114_088	
IN_114_089	Jeans Attire Shoes [M]
ID_114_089	
IN_114_090	Blue Angel Attire [M] [30D]
ID_114_090	
IN_114_091	Blue Angel Attire Shirt [M]
ID_114_091	
IN_114_092	Blue Angel Attire Pants [M]
ID_114_092	
IN_114_093	Blue Angel Attire Shoes [M]
ID_114_093	
IN_114_094	Hippies Attire [M] [30D]
ID_114_094	
IN_114_095	Hippies Attire Shirt [M]
ID_114_095	
IN_114_096	Hippies Attire Pants [M]
ID_114_096	
IN_114_097	Hippies Attire Shoes [M]
ID_114_097	
IN_114_098	Jeans Attire [F] [30D]
ID_114_098	
IN_114_099	Jeans Attire Shirt [F] 
ID_114_099	
IN_114_100	Jeans Attire Pants [F] 
ID_114_100	
IN_114_101	Jeans Attire Shoes [F] 
ID_114_101	
IN_114_102	Yoga Martial Arts Wear [F] [30D]
ID_114_102	
IN_114_103	Yoga Martial Arts Wear Shirt [F]
ID_114_103	
IN_114_104	Yoga Martial Arts Wear Pants [F]
ID_114_104	
IN_114_105	Yoga Martial Arts Wear Shoes [F]
ID_114_105	
IN_114_106	Hippies Attire [F] [30D]
ID_114_106	
IN_114_107	Hippies Attire Shirt [F] 
ID_114_107	
IN_114_108	Hippies Attire Pants [F] 
ID_114_108	
IN_114_109	Hippies Attire Shoes [F] 
ID_114_109	
IN_114_110	Santa Suits [M] [30D]
ID_114_110	
IN_114_111	Santa Suit Shirt [M]
ID_114_111	
IN_114_112	Santa Suit Pants [M]
ID_114_112	
IN_114_113	Santa Suit Shoes [M]
ID_114_113	
IN_114_114	Santa Suits
ID_114_114	
IN_114_115	Surfing [M]
ID_114_115	
IN_114_116	Surfing Shirt [M] [1M]
ID_114_116	
IN_114_117	Surfing Pants [M]
ID_114_117	
IN_114_118	Surfing Shoes [M]
ID_114_118	
IN_114_119	Surfing Gloves [M]
ID_114_119	
IN_114_120	Devil Wing [F] [1M]
ID_114_120	
IN_114_121	Devil Wing Shirt [F]
ID_114_121	
IN_114_122	Devil Wing Skirt [F]
ID_114_122	
IN_114_123	Devil Wing Shoes [F]
ID_114_123	
IN_114_124	Devil Wing Gloves [F]
ID_114_124	
IN_114_125	Surfing [M] [30D]
ID_114_125	
IN_114_126	Surfing Shirt [M]
ID_114_126	
IN_114_127	Surfing Pants [M]
ID_114_127	
IN_114_128	Surfing Shoes [M]
ID_114_128	
IN_114_129	Surfing Gloves [M]
ID_114_129	
IN_114_130	Devil Wing [F] [30D]
ID_114_130	
IN_114_131	Devil Wing Shirt [F]
ID_114_131	
IN_114_132	Devil Wing Skirt [F]
ID_114_132	
IN_114_133	Devil Wing Shoes [F]
ID_114_133	
IN_114_134	Devil Wing Gloves [F]
ID_114_134	
IN_114_135	Santa Suits [F] [30D]
ID_114_135	
IN_114_136	Santa Suits Shirt [F]
ID_114_136	
IN_114_137	Santa Suits Pants [F]
ID_114_137	
IN_114_138	Santa Suits Shoes [F]
ID_114_138	
IN_114_139	Santa Suits Hat [F]
ID_114_139	
IN_114_140	Bridegroom Suit Gift Box [M] [30D]
ID_114_140	The moment in life when a guy is the most handsome, his stunning appearance will definitely cause the bride to swoon with delight.
IN_114_141	Bridegroom Overcoat [M] [30D]
ID_114_141	After you have chosen the item by left-clicking on it, place the mouse cursor over the clothing [top], then right-click to initiate the merging. Although the item still can be used without merging it with the others in the set, but the item alone does not  have any defensive power.
IN_114_142	Bridegroom Pants [M] [30D]
ID_114_142	After you have chosen the item by left-clicking on it, place the mouse cursor over the clothing [bottom], then right-click to initiate the merging. Although the item still can be used without merging it with the others in the set, but the item alone does not  have any defensive power.
IN_114_143	Bridegroom Black Leather Shoes [M] [30D]
ID_114_143	After you have chosen the item by left-clicking on it, place the mouse cursor over the clothing [shoes], then right-click to initiate the merging. Although the item still can be used without merging it with the others in the set, but the item alone does not  have any defensive power.
IN_114_144	Bridegroom White Glove [M] [30D]
ID_114_144	After you have chosen the item by left-clicking on it, place the mouse cursor over the clothing [glove], then right-click to initiate the merging. Although the item still can be used without merging it with the others in the set, but the item alone does not  have any defensive power.
IN_114_145	Bridal Gown Gift Box [F] [30D]
ID_114_145	The moment in life when a lady is the most beautiful, the heavenly look will make the bridegroom swoon with delight!
IN_114_146	Bridal Silk Top [F] [30D]
ID_114_146	After you have chosen the item by left-clicking on it, place the mouse cursor over the clothing [top], then right-click to initiate the merging. Although the item still can be used without merging it with the others in the set, but the item alone does not  have any defensive power.
IN_114_147	Bridal Linen Skirt [F] [30D]
ID_114_147	After you have chosen the item by left-clicking on it, place the mouse cursor over the clothing [bottom], then right-click to initiate the merging. Although the item still can be used without merging it with the others in the set, but the item alone does not  have any defensive power.
IN_114_148	Bridal Glove [F] [30D]
ID_114_148	After you have chosen the item by left-clicking on it, place the mouse cursor over the clothing [shoes], then right-click to initiate the merging. Although the item still can be used without merging it with the others in the set, but the item alone does not  have any defensive power.
IN_114_149	Bridal Headgear [F] [30D]
ID_114_149	After you have chosen the item by left-clicking on it, place the mouse cursor over the clothing [headgear], then right-click to initiate the merging. Although the item still can be used without merging it with the others in the set, but the item alone does not  have any defensive power.
IN_114_150	Bridal Bouquet [F] [30D]
ID_114_150	A bouquet representing happiness. [Not mergeable]
IN_114_151	Red Baseball Cap [30D]
ID_114_151	30 Days, HP,MP,SP Regen + 0.30% 
IN_114_152	Blue Baseball Cap [30D]
ID_114_152	30 Days, HP,MP,SP Regen + 0.30% 
IN_114_153	Yellow Baseball Cap [30D]
ID_114_153	30 Days, HP,MP,SP Regen + 0.30% 
IN_114_154	Red CowBoy Hat [30D]
ID_114_154	30 Days, HP,MP,SP Regen + 0.30% 
IN_114_155	Yellow CowBoy Hat [30D]
ID_114_155	30 Days, HP,MP,SP Regen + 0.30% 
IN_114_156	White CowBoy Hat [30D]
ID_114_156	30 Days, HP,MP,SP Regen + 0.30% 
IN_114_157	Fanciness Bandana [30D]
ID_114_157	30 Days, HP,MP,SP Regen + 0.30% 
IN_114_158	Brownish Bandana [30D]
ID_114_158	30 Days, HP,MP,SP Regen + 0.30% 
IN_114_159	Colourful Bandana [30D]
ID_114_159	30 Days, HP,MP,SP Regen + 0.30% 
IN_114_160	Red Battle Helmet [30D]
ID_114_160	Make you stronger and attack more precisely [30 Days]
IN_114_163	Beret_Red[30D]
ID_114_163	
IN_114_164	Beret_Blue[30D]
ID_114_164	
IN_114_165	Beret_Green[30D]
ID_114_165	
IN_114_166	Beret_Black[30D]
ID_114_166	
IN_114_167	Flower HeadBand[30D]
ID_114_167	
IN_114_168	Fighter Cloth Box[30D]
ID_114_168	
IN_114_169	Fighter Jacket[30D]
ID_114_169	
IN_114_170	Fighter Pant[30D]
ID_114_170	
IN_114_171	Fighter Shoes[30D]
ID_114_171	
IN_114_172	Fighter Glove[30D]
ID_114_172	
IN_114_173	House Keeper Cloth Box[30D]
ID_114_173	
IN_114_174	House Keeper Jacket[30D]
ID_114_174	
IN_114_175	House Keeper Skirt[30D]
ID_114_175	
IN_114_176	House Keeper Shoes[30D]
ID_114_176	
IN_114_177	House Keeper Glove[30D]
ID_114_177	
IN_114_178	White Ninja Cloth Box[M][30D]
ID_114_178	
IN_114_179	White Ninja Jacket[30D]
ID_114_179	
IN_114_180	White Ninja Pant[30D]
ID_114_180	
IN_114_181	White Ninja Shoes[30D]
ID_114_181	
IN_114_182	White Ninja Glove[30D]
ID_114_182	
IN_114_183	White Ninja Cloth Box[F][30D]
ID_114_183	
IN_114_184	White Ninja Jacket[30D]
ID_114_184	
IN_114_185	White Ninja Pant[30D]
ID_114_185	
IN_114_186	White Ninja Shoes[30D]
ID_114_186	
IN_114_187	White Ninja Glove[30D]
ID_114_187	
IN_114_188	Iron Fist Cloth Box[30D]
ID_114_188	
IN_114_189	Iron Fist(Jacket)[30D]
ID_114_189	
IN_114_190	Iron Fist(Pants)[30D]
ID_114_190	
IN_114_191	Iron Fist(Gloves)[30D]
ID_114_191	
IN_114_192	Iron Fist(Shoes)[30D]
ID_114_192	
IN_114_193	Iron Fist(Band)[30D]
ID_114_193	
IN_114_194	Vagabond Boss Cloth Box[30D]
ID_114_194	
IN_114_195	Vagabond Boss(Jacket)[30D]
ID_114_195	
IN_114_196	Vagabond Boss(Skirt)[30D]
ID_114_196	
IN_114_197	Vagabond Boss(Gloves)[30D]
ID_114_197	
IN_114_198	Vagabond Boss(Shoes)[30D]
ID_114_198	
IN_114_199	A type Basketball Box[M][30D]
ID_114_199	
IN_114_200	A type Basketball(Shoes)[30D]
ID_114_200	
IN_114_201	A type Basketball(Jacket)[30D]
ID_114_201	
IN_114_202	A type Basketball(Pants)[30D]
ID_114_202	
IN_114_203	A type Cheerleader Box[F][30D]
ID_114_203	
IN_114_204	A type Cheerleader(Jacket)[30D]
ID_114_204	
IN_114_205	A type Cheerleader(Skirt)[30D]
ID_114_205	
IN_114_206	A type Cheerleader(Shoes)[30D]
ID_114_206	
IN_114_207	B type Basketball Box[M][30D]
ID_114_207	
IN_114_208	B type Basketball(Jacket)[30D]
ID_114_208	
IN_114_209	B type Basketball(Pants)[30D]
ID_114_209	
IN_114_210	B type Basketball(Shoes)[30D]
ID_114_210	
IN_114_211	B type Cheerleader Box[F][30D]
ID_114_211	
IN_114_212	B type Cheerleader(Jacket)[30D]
ID_114_212	
IN_114_213	B type Cheerleader(Skirt)[30D]
ID_114_213	
IN_114_214	B type Cheerleader(Shoes)[30D]
ID_114_214	
IN_114_215	C type Basketball Box[M][30D]
ID_114_215	
IN_114_216	C type Basketball(Jacket)[30D]
ID_114_216	
IN_114_217	C type Basketball(Pants)[30D]
ID_114_217	
IN_114_218	C type Basketball(Shoes)[30D]
ID_114_218	
IN_114_219	C type Cheerleader Box[F][30D]
ID_114_219	
IN_114_220	C type Cheerleader(Jacket)[30D]
ID_114_220	
IN_114_221	C type Cheerleader(Skirt)[30D]
ID_114_221	
IN_114_222	C type Cheerleader(Shoes)[30D]
ID_114_222	
IN_114_223	D type Basketball Box[M][30D]
ID_114_223	
IN_114_224	D type Basketball(Jacket)[30D]
ID_114_224	
IN_114_225	D type Basketball(Pants)[30D]
ID_114_225	
IN_114_226	D type Basketball(Shoes)[30D]
ID_114_226	
IN_114_227	D type Cheerleader Box[F][30D]
ID_114_227	
IN_114_228	D type Cheerleader(Jacket)[30D]
ID_114_228	
IN_114_229	D type Cheerleader(Skirt)[30D]
ID_114_229	
IN_114_230	D type Cheerleader(Shoes)[30D]
ID_114_230	
IN_114_231	A type athletics cloth Box[M][30D]
ID_114_231	
IN_114_232	A type athletics cloth(Jacket)[30D]
ID_114_232	
IN_114_233	A type athletics cloth(Pants)[30D]
ID_114_233	
IN_114_234	A type athletics cloth(Shoes)[30D]
ID_114_234	
IN_114_235	A type athletics cloth Box[F][30D]
ID_114_235	
IN_114_236	A type athletics cloth(Jacket)[30D]
ID_114_236	
IN_114_237	A type athletics cloth(Pants)[30D]
ID_114_237	
IN_114_238	A type athletics cloth(Shoes)[30D]
ID_114_238	
IN_114_239	B type athletics cloth Box[M][30D]
ID_114_239	
IN_114_240	B type athletics cloth(Jacket)[30D]
ID_114_240	
IN_114_241	B type athletics cloth(Pants)[30D]
ID_114_241	
IN_114_242	B type athletics cloth(Shoes)[30D]
ID_114_242	
IN_114_243	B type athletics cloth Box[F][30D]
ID_114_243	
IN_114_244	B type athletics cloth(Jacket)[30D]
ID_114_244	
IN_114_245	B type athletics cloth(Pants)[30D]
ID_114_245	
IN_114_246	B type athletics cloth(Shoes)[30D]
ID_114_246	
IN_114_247	C type athletics cloth Box[M][30D]
ID_114_247	
IN_114_248	C type athletics cloth(Jacket)[30D]
ID_114_248	
IN_114_249	C type athletics cloth(Pants)[30D]
ID_114_249	
IN_114_250	C type athletics cloth(Shoes)[30D]
ID_114_250	
IN_114_251	C type athletics cloth Box[F][30D]
ID_114_251	
IN_114_252	C type athletics cloth(Jacket)[30D]
ID_114_252	
IN_114_253	C type athletics cloth(Pants)[30D]
ID_114_253	
IN_114_254	C type athletics cloth(Shoes)[30D]
ID_114_254	
IN_114_255	D type athletics cloth Box[M][30D]
ID_114_255	
IN_114_256	D type athletics cloth(Jacket)[30D]
ID_114_256	
IN_114_257	D type athletics cloth(Pants)[30D]
ID_114_257	
IN_114_258	D type athletics cloth(Shoes)[30D]
ID_114_258	
IN_114_259	D type athletics cloth Box[F][30D]
ID_114_259	
IN_114_260	D type athletics cloth(Jacket)[30D]
ID_114_260	
IN_114_261	D type athletics cloth(Pants)[30D]
ID_114_261	
IN_114_262	D type athletics cloth(Shoes)[30D]
ID_114_262	
IN_114_267	Board Suit Box[M][30D]
ID_114_267	
IN_114_268	Board Suit Jacket [M][30D]
ID_114_268	
IN_114_269	Board Suit Pants [M][30D]
ID_114_269	
IN_114_270	Board Suit Gloves [M][30D]
ID_114_270	
IN_114_271	Board Suit Shoes [M][30D]
ID_114_271	
IN_114_272	Board Suit Glasses [M][30D]
ID_114_272	
IN_114_273	Board Suit Box[W][30D]
ID_114_273	
IN_114_274	Board Suit Jacket [W][30D]
ID_114_274	
IN_114_275	Board Suit Pants [W][30D]
ID_114_275	
IN_114_276	Board Suit Gloves [W][30D]
ID_114_276	
IN_114_277	Board Suit Shoes [W][30D]
ID_114_277	
IN_114_278	Board Suit Glasses [W][30D]
ID_114_278	
IN_114_349	Tatoo Costume Box(Male)(30D)
ID_114_349	
IN_114_350	Tatoo Costume Jacket(Male)(30D)
ID_114_350	
IN_114_351	Tatoo Costume Pants(Male)(30D)
ID_114_351	
IN_114_352	Tatoo Costume Shoes (Male)(30D)
ID_114_352	
IN_114_353	Tatoo Costume Glasses (Male)(30D)
ID_114_353	
IN_114_354	Tatoo Costume Cap (Male)(30D)
ID_114_354	
IN_114_355	Tatoo Costume Box(Female)(30D)
ID_114_355	
IN_114_356	Tatoo Costume Jacket(Female)(30D)
ID_114_356	
IN_114_357	Tatoo Costume Pants(Female)(30D)
ID_114_357	
IN_114_358	Tatoo Costume Shoes (Female)(30D)
ID_114_358	
IN_114_359	Tatoo Costume Glasses (Female)(30D)
ID_114_359	
IN_114_360	Tatoo Costume Cap (Female)(30D)
ID_114_360	
IN_115_000	Premium Accessories
ID_115_000	
IN_115_001	Soul Retriever Ball
ID_115_001	Upon death, click on 'Use' and this item will allow you to resurrect at the same spot without any exp loss.
IN_115_002	Hacker Mission A [15D]
ID_115_002	Good for 15 days
IN_115_003	Hacker Mission B [15D]
ID_115_003	Good for 15 days
IN_115_004	Hacker Mission C [15D]
ID_115_004	Good for 15 days
IN_115_005	Aluminum Bracelet [7D]
ID_115_005	Increase HP recovery volume for 7 days
IN_115_006	Aluminum Bracelet [15D]
ID_115_006	Increase HP recovery volume for 15 days
IN_115_007	Aluminum Bracelet [30D]
ID_115_007	Increase HP recovery volume for 30 days
IN_115_008	Temp
ID_115_008	
IN_115_009	Copper Bracelet [7D]
ID_115_009	Increase HP recovery rate for 7 days
IN_115_010	Copper Bracelet [15D]
ID_115_010	Increase HP recovery rate for 15 days
IN_115_011	Copper Bracelet [30D]
ID_115_011	Increase HP recovery rate for 30 days
IN_115_012	Temp
ID_115_012	
IN_115_013	Platinum Bracelet [7D]
ID_115_013	Increase HP-SP recovery rate for 7 days
IN_115_014	Platinum Bracelet [15D]
ID_115_014	Increase HP-SP recovery rate for 15 days
IN_115_015	Platinum Bracelet [30D]
ID_115_015	Increase HP-SP recovery rate for 30 days
IN_115_016	Temp
ID_115_016	
IN_115_017	Temp
ID_115_017	
IN_115_018	Sports Glasses [15D]
ID_115_018	Good for 15 Days
IN_115_019	Trendy Glasses [15D]
ID_115_019	Good for 15 Days
IN_115_020	Windbreaker Glasses [15D]
ID_115_020	Good for 15 Days
IN_115_021	Outlook Glasses [15D]
ID_115_021	Good for 15 Days
IN_115_022	Leaisure Glasses [15D]
ID_115_022	Good for 15 Days
IN_115_023	Sports Glasses [30D]
ID_115_023	Good for 30 Days
IN_115_024	Trendy Glasses [30D]
ID_115_024	Good for 30 Days
IN_115_025	Windbreaker Glasses [30D]
ID_115_025	Good for 30 Days
IN_115_026	Outlook Glasses [30D]
ID_115_026	Good for 30 Days
IN_115_027	Leisure Glasses [30D]
ID_115_027	Good for 30 Days
IN_115_028	Hacker Mission A [30D]
ID_115_028	Good for 30 Days
IN_115_029	Hacker Mission B [30D]
ID_115_029	Good for 30 Days
IN_115_030	Hjacker Mission C [30D]
ID_115_030	Good for 30 Days
IN_115_031	Battle Helmet [30D]
ID_115_031	When worn it will make you stronger, attack with more accuracy, the helmet will expire within 30 days.
IN_115_032	Battle Helmet 2 [30D]
ID_115_032	When worn it will make you stronger, attack with more accuracy, the helmet will expire within 30 days.
IN_115_033	Battle Helmet 3 [30D]
ID_115_033	When worn it will make you stronger, attack with more accuracy, the helmet will expire within 30 days.
IN_115_034	Battle Helmet Ultimate Bliss Box
ID_115_034	
IN_115_035	Training Rosary [1D] 
ID_115_035	A rosary that provide double experience points when worn. This item expires in 1 Day.
IN_115_036	Resurrection Training Rosary [1D]
ID_115_036	A rosary that provide double experience points when worn. Users can will resurrest on the spot where he died.
IN_115_037	Beida's Ring [30D]
ID_115_037	
IN_115_038	Reborn necklace [1H]
ID_115_038	
IN_115_039	Resurrection Training Rosary [7D]
ID_115_039	
IN_115_040	Bone Necklace [15D]
ID_115_040	
IN_115_041	Spatial Rosary [15D]
ID_115_041	
IN_115_042	Bone Rosary [15D]
ID_115_042	
IN_115_043	Azrael Rosary [15D]
ID_115_043	
IN_115_044	Soul Rosary [15D]
ID_115_044	
IN_115_045	Beida's Ring [15D]
ID_115_045	
IN_115_046	Training Rosary [1D] 
ID_115_046	A rosary that provide double experience points when worn. This item expires in 1 Day.
IN_115_047	Resurrection Training Rosary [1D]
ID_115_047	A rosary that provide double experience points when worn. Users can will resurrest on the spot where he died.
IN_115_048	Bone Necklace [7D]
ID_115_048	
IN_115_049	Spatial Rosary [7D]
ID_115_049	
IN_115_050	Bone Rosary [7D]
ID_115_050	
IN_115_051	Azrael Rosary [7D]
ID_115_051	
IN_115_052	Soul Rosary [7D]
ID_115_052	
IN_115_053	Beida's Ring [7D]
ID_115_053	
IN_115_054	Training Rosary [7H]
ID_115_054	A rosary that provide double experience points when worn. This item expires in 7 hours.
IN_115_055	Resurrection Training Rosary [7H]
ID_115_055	A rosary that provide double experience points when worn. Users can will resurrest on the spot where he died.
IN_115_056	Bone Necklace [30D]
ID_115_056	
IN_115_057	Spatial Rosary [30D]
ID_115_057	
IN_115_058	Bone Rosary [30D]
ID_115_058	
IN_115_059	Azrael Rosary [30D]
ID_115_059	
IN_115_060	Soul Rosary [30D]
ID_115_060	
IN_115_061	Beida's Ring [30D][+10] (Accuracy)
ID_115_061	
IN_115_062	Training Rosary [5H]
ID_115_062	A rosary that provide double experience points when worn. This item expires in 5 hours.
IN_115_063	Resurrection Training Rosary [5H]
ID_115_063	A rosary that provide double experience points when worn. Users can will resurrest on the spot where he died.
IN_115_064	Resurrection Training Rosary [1H]
ID_115_064	A rosary that provide double experience points when worn. Users can will resurrest on the spot where he died.
IN_115_065	Beida's Ring [30D][+10] (Evasion)
ID_115_065	
IN_115_066	Training Rosary [1H]
ID_115_066	A rosary that provide double experience points when worn. This item expires in 1 hours.
IN_115_067	Beida's Ring [30D][+10] (Defense)
ID_115_067	
IN_115_068	Beida's Ring [30D][+10] (Energy)
ID_115_068	
IN_115_069	Beida's Ring [30D][+10] (Accuracy) Box
ID_115_069	
IN_115_070	Beida's Ring [30D][+10] (Evasion) Box
ID_115_070	
IN_115_071	Beida's Ring [30D][+10] (Defense) Box
ID_115_071	
IN_115_072	Beida's Ring [30D][+10] (Energy) Box
ID_115_072	
IN_115_073	Sacred Tiarra [30D][+10] Box
ID_115_073	
IN_115_153	SunCap A [M][15D]
ID_115_153	
IN_115_154	Suncap B [M][15D]
ID_115_154	
IN_115_155	Suncap C [M][15D]
ID_115_155	
IN_115_156	Suncap A [F][15D]
ID_115_156	
IN_115_157	Suncap B [F][15D]
ID_115_157	
IN_115_158	Suncap C [F][15D]
ID_115_158	
IN_115_159	Beret A [M][15D]
ID_115_159	
IN_115_160	Beret B [M][15D]
ID_115_160	
IN_115_161	Beret C [M][15D]
ID_115_161	
IN_115_162	Beret A [F][15D]
ID_115_162	
IN_115_163	Beret B [F][15D]
ID_115_163	
IN_115_164	Beret C [F][15D]
ID_115_164	
IN_115_165	Hemet A [15D]
ID_115_165	
IN_115_166	Hemet B [15D]
ID_115_166	
IN_115_167	Hemet C [15D]
ID_115_167	
IN_115_168	HairBand A [M][15D]
ID_115_168	
IN_115_169	HairBand B [M][15D]
ID_115_169	
IN_115_170	HairBand C [M][15D]
ID_115_170	
IN_115_171	Hair Ring A [F][15D]
ID_115_171	
IN_115_172	Hair Ring B [F][15D]
ID_115_172	
IN_115_173	Hair Ring C [F][15D]
ID_115_173	
IN_115_174	Short Hood A [M][15D]
ID_115_174	
IN_115_175	Short Hood B [M][15D]
ID_115_175	
IN_115_176	Short Hood C [M][15D]
ID_115_176	
IN_115_177	Short Hood A [F][15D]
